name,cuisine,rating,delivery_time,distance,latitude,longitude,id
Flavors of Japan - Funan Mall,"Japanese, Ramen",N/A,N/A,N/A,N/A,N/A,4-C35YTYWEV2LFJ6?
Dim Sum - Funan Mall,"Dim Sum, Local & Malaysian",N/A,N/A,N/A,N/A,N/A,4-C35YTYWEV2EBRE?
Wingstop - Funan,"Fast Food, Fried Chicken, Western, Halal",N/A,30 mins , 0.5 km,N/A,N/A,4-C4NBJNMVAYXZME?
Xi Men Jie - Funan,"Chinese, Healthy, Drinks & Beverages",N/A,25 mins , 0.5 km,N/A,N/A,4-C4DGKA4GN4CDE2?
Mala Fried Skewer King - Funan Mall,Chinese,N/A,25 mins , 0.5 km,N/A,N/A,4-C4B2MFLTCJ4ZRE?
Bee Kee Truffle Wanton Noodle - CapitaSpring,"Chinese, Noodles, Drinks & Beverages",N/A,35 mins , 1.5 km,N/A,N/A,SGDD01392?
PENG 鹏 Tiong Bahru Wanton Mee - CapitaSpring,"Chinese, Local & Malaysian, Noodles",N/A,30 mins , 1.6 km,N/A,N/A,SGDD12541?
Authentic Hock Lam Beef Noodles - 13 North Canal Road,"Chinese, Noodles",N/A,35 mins , 1.5 km,N/A,N/A,SGDD01360?
Potato Corner - Funan,"Local & Malaysian, Fast Food, Snack",N/A,25 mins , 0.5 km,N/A,N/A,4-CZJZBADJCXA2NN?
Cellarbration Bistro & Bottle Shop - Lorong Telok,"Alcohol, Mart, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C4MYGELXJZLWJJ?
Yakizen - Boat Quay Conservation Area,"Japanese, BBQ & Grill, Salad, Zi Char, Sushi",N/A,35 mins , 1.4 km,N/A,N/A,4-C2EAC3VJEBUWL2?
Dondonburi - Lorong Telok,"Japanese, Noodles, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C3VWVT6ETNUVLT?
Beng Thin Hoon Kee - OCBC Centre,"Chinese, Dessert, Drinks & Beverages",N/A,30 mins , 1.4 km,N/A,N/A,4-C22KT6VFVYJHC6?
Hisingapore - High Street Centre,"Mart, Healthy, Snacks",N/A,N/A,N/A,N/A,N/A,4-C6CCKELHFGA2AA?
Medzs Bistro & Bar - High Street Centre,"Bakery & Cake, Breakfast & Brunch, Korean, Western",N/A,N/A,N/A,N/A,N/A,4-C6ABGB2YTT2UEJ?
Medzs Bistro & Bar - High Street Centre,"Bakery & Cake, Breakfast & Brunch, Korean, Western",N/A,N/A,N/A,N/A,N/A,4-C6ABGB2YTT2UEJ?
Flo Dining - High Street Plaza,"Japanese, Chicken, Vegetarian Friendly",N/A,25 mins , 1 km,N/A,N/A,4-C3UBCEDHTT6FCN?
Ricciotti - The Riverwalk,"Pasta, Pizza, Italian",N/A,35 mins , 1.1 km,N/A,N/A,SGDD08664?
Sinpopo Coffee - Funan,"Bakery & Cake, Local & Malaysian",N/A,25 mins , 0.5 km,N/A,N/A,4-CYW1LZNWMCNJVA?
Ramanico Delights - High Street Plaza,Chinese,N/A,25 mins , 0.9 km,N/A,N/A,4-C3JDL6TGDF3WNN?
Sushi Express - Funan,"Dessert, Sushi, Japanese, Group Friendly",N/A,25 mins , 0.5 km,N/A,N/A,4-CYXBCJDGNGE3EJ?
Souperstar - One Raffles Place,Salad,N/A,35 mins , 1.6 km,N/A,N/A,4-CZCUCRKVCAMYVA?
Tummy Delights - Raffles Place,"Chinese, Western, BBQ & Grill",N/A,N/A,N/A,N/A,N/A,4-C6BAGXDYGJDBET?
Peach Garden - OCBC Centre,"Chinese, Dim Sum, Seafood",N/A,30 mins , 1.4 km,N/A,N/A,4-CYLJWGMVVLNVTE?
Bombay Grill (Restaurant Delivery),Indian,N/A,119 mins , 1.2 km,N/A,N/A,4-CZCFEKMTA6TXRE?
Two Wings - North Bridge Road,"Western, Fried Chicken, Drinks & Beverages",N/A,25 mins , 0.5 km,N/A,N/A,4-CYLJWGEJRP3TJA?
Ramen Matsuri - 7 North Canal Road,"Japanese, Ramen, Noodles",N/A,30 mins , 1.3 km,N/A,N/A,SGDD00979?
Ange Bakes Keto Bakery & Cafe - High Street Plaza,"Mart, Bakery, Dessert, Local, Snacks",N/A,30 mins , 1 km,N/A,N/A,4-CZD1V32GJVEUCE?
O2 Bistro - Boat Quay Conservation Area,"Dessert, Chinese, Western",N/A,25 mins , 1.5 km,N/A,N/A,4-C2MUN4CTR2VXWE?
Qi Ji - Funan Mall,"Chinese, Halal, Local & Malaysian, Group Friendly",N/A,30 mins , 0.5 km,N/A,N/A,4-CYWKAUBUPEDVJX?
Naga House - Lorong Telok,"Coffee & Tea, Drinks & Beverages, Japanese Cuisine",N/A,25 mins , 1.4 km,N/A,N/A,4-C3NCCTNHRCDTRE?
Kazo Premium - Funan,"Bakery & Cake, Dessert, Cakes & Bakeries, Halal",N/A,25 mins , 0.5 km,N/A,N/A,4-C3E3EFD3G3VCTN?
Smooy - Funan,"Dessert, Ice Cream",N/A,30 mins , 0.5 km,N/A,N/A,4-C2TBC6CDV6UACE?
Men Men Don - Funan Mall,"Japanese, Noodles, Bento",N/A,25 mins , 0.5 km,N/A,N/A,4-CZC2A2DDGZNYBA?
Sukiya - Funan,"Japanese, Kids Friendly, Drinks & Beverages, Seafood, Halal",N/A,25 mins , 0.5 km,N/A,N/A,4-C3XTAN6WCCLJKA?
Sing Swee Kee Chicken Rice X Raffles Coffee - North Bridge Road,"Local & Malaysian, Coffee & Tea, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C6AFLYKZANBBLN?
Beyond Fruit - Funan,"Drinks & Beverages, Dessert, Healthy",N/A,25 mins , 0.5 km,N/A,N/A,4-C4MZEJ51G64XGN?
Hill Street - Mix & Match Malls (Mart),"Convenience, Bakery & Pastries, Mart",N/A,N/A,N/A,N/A,N/A,4-C36HR8CFJCLHJE?
Wayang - Funan,"Indonesian, Seafood, Drinks & Beverages",N/A,25 mins , 0.5 km,N/A,N/A,4-C4CKR4AUCFLKAT?
Delibowl - Funan 壹碗福南数码广场,"Local & Malaysian, Chinese, Zi Char, Halal",N/A,25 mins , 0.5 km,N/A,N/A,4-CY23VKEUCUA1CA?
Yan Ji Gourmet Seafood Soup - Funan,"Chinese, Seafood",N/A,30 mins , 0.5 km,N/A,N/A,4-CYU2V2KFCGLXTJ?
Subway - Funan,"Sandwiches, Halal, Fast Food, Group Friendly",N/A,25 mins , 0.5 km,N/A,N/A,4-CZDKG25AVYVAT6?
53 Galaxy Space - South Bridge Road,"Western, Breakfast & Brunch, Pasta, Salad",N/A,N/A,N/A,N/A,N/A,4-C25UGT5GNVA2WA?
Bombay House - South Bridge Road,Indian,N/A,92 mins , 1.2 km,N/A,N/A,4-C2WGSGMCCNXUGT?
Aryana - North Indian Restaurant - South Bridge Road 🏍,"Indian, Vegetarian Friendly",N/A,119 mins , 1.2 km,N/A,N/A,4-C3LGL3LDWAJHJT?
Bombay House - South Bridge Road,Indian,N/A,92 mins , 1.2 km,N/A,N/A,4-C2WGSGMCCNXUGT?
Aryana - North Indian Restaurant - South Bridge Road 🏍,"Indian, Vegetarian Friendly",N/A,119 mins , 1.2 km,N/A,N/A,4-C3LGL3LDWAJHJT?
Bombay Curry And Kebabs North Indian Cuisine - South Bridge Road 🏍,"BBQ & Grill, Seafood, Bento, Indian",N/A,99 mins , 1.2 km,N/A,N/A,4-C3LGL26GR23AMA?
Hot Express North Indian Cuisine - South Bridge Road,"Indian, BBQ & Grill, Seafood",N/A,118 mins , 1.2 km,N/A,N/A,4-C253CYCTETA2ME?
Bawarchi North Indian Cuisine - South Bridge Road,Indian,N/A,119 mins , 1.2 km,N/A,N/A,4-C252FED2JKLKV6?
The Taste of Bharath - High Street Plaza,"Indian, Local & Malaysian",N/A,20 mins , 0.5 km,N/A,N/A,4-CYN1J3LDNLKDJA?
Churros Republic - Funan Mall,"Dessert, Snack, Bakery & Pastries, Spanish, Drinks & Beverages",N/A,25 mins , 0.5 km,N/A,N/A,4-C2E2V3VCFF4GCX?
Gong Yuan Ma La Tang - Funan,"Local & Malaysian, Chinese, Mala",N/A,25 mins , 0.5 km,N/A,N/A,4-CZBXVFVUJF3GVX?
A Gan Guo Kui - North Bridge Road,"Snack, Bakery, Chinese",N/A,25 mins , 0.5 km,N/A,N/A,4-CZDVUF2VLKKFV2?
Old Chang Kee - Funan,"Snack, Local & Malaysian, Halal, Group Friendly",N/A,25 mins , 0.5 km,N/A,N/A,4-CYVFL2CDN2UEJ2?
House of Seafood (MediterrAsian BBQ Bar) - The Riverwalk,"Local & Malaysian, Chinese, Seafood",N/A,25 mins , 1.1 km,N/A,N/A,4-C2JFEXCJA74GEE?
Twyst Pasta - Raffles Place MRT Station,"Noodles, Fast Food, Italian, Bakery & Cake, Halal",N/A,35 mins , 1.7 km,N/A,N/A,4-C25ZKECUCZD3AN?
Godmama Modern Peranakan Kitchen - Funan Mall,"Local & Malaysian, Pasta, Dessert, Seafood",N/A,25 mins , 0.5 km,N/A,N/A,4-CZDHLA3KV4J3DA?
Old Tea Hut - One Raffles Place,"Drinks & Beverages, Coffee & Tea, Bubble Tea",N/A,35 mins , 1.6 km,N/A,N/A,4-CZLGCZDUNFMVPA?
Saap Saap Thai - Funan,"Thai, Noodles, Halal",N/A,30 mins , 0.5 km,N/A,N/A,4-CYWCATD3GAWTRN?
Ba Ge Chuan Chuan - South Bridge Road,"Chinese, BBQ & Grill",N/A,N/A,N/A,N/A,N/A,4-C3MAL2EZV3VKTT?
NOKA - Funan,"Alcohol, Dessert, Drinks & Beverages, Sushi",N/A,25 mins , 0.8 km,N/A,N/A,4-CZJVJ6KABAXJET?
Acai King - North Bridge Road,"Dessert, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C6C3WB2WRKKALJ?
Swirled - Capitaspring,"Western, Pasta, Seafood, Snack, Local & Malaysian",N/A,30 mins , 1.5 km,N/A,N/A,4-C4C3MA42ENXZCA?
Patrons’ Box - One Raffles Place,"Western, Middle Eastern, Dessert",N/A,30 mins , 1.6 km,N/A,N/A,4-C3LGR6M3C8EXCE?
Cedele - CIMB Plaza,"Western, Bakery & Cake, Breakfast & Brunch",N/A,35 mins , 1.9 km,N/A,N/A,4-C34WEEW1ECKAC6?
Tanamera Coffee - Oxley @ Raffles,"Indonesian, Breakfast & Brunch, Fried Rice, Satay, Soup",N/A,119 mins , 1.8 km,N/A,N/A,4-C2T3CY2YWAVGNE?
The Oyster Bank - Funan,"Japanese, Seafood, Sushi",N/A,25 mins , 0.8 km,N/A,N/A,4-CY3UVAXARRBACN?
Cedele Mart - CIMB Plaza,"Bakery & Cake, Groceries, Healthy Food, Snack, Gourmet",N/A,35 mins , 1.8 km,N/A,N/A,4-C34WEEW1DCLVPA?
Golden Village Goldbites - Funan,"Western, Fast Food, Drinks & Beverages",N/A,30 mins , 0.5 km,N/A,N/A,4-C22ENXV2JAAJPA?
Ya Kun Kaya Toast - Funan Mall,"Coffee & Tea, Bakery & Cake, Dessert, Group Friendly",N/A,30 mins , 0.9 km,N/A,N/A,4-CZBXTF4YA8DXGT?
Dunkin' Donuts - Funan Mall,"Western, Group Friendly, Bakery & Cake, Drinks & Beverages, Halal",N/A,25 mins , 0.9 km,N/A,N/A,4-CYU3N7KCECKGNX?
The Coffee Bean & Tea Leaf - CIMB Plaza,"Breakfast & Brunch, Coffee & Tea, Dessert, Halal",N/A,30 mins , 1.8 km,N/A,N/A,4-C2LXSBCJTJNGLN?
LiHO Tea - Funan,"Coffee & Tea, Drinks & Beverages, Bubble Tea, Group Friendly",N/A,30 mins , 0.8 km,N/A,N/A,4-CZCBCGNXAY5ACA?
Lucky69 Beer Cafe - North Canal Road,"Snack, Alcohol, Western",N/A,30 mins , 1.5 km,N/A,N/A,4-C2LAR3XHVP4EME?
Chalong - Charcoal Grill Meat - One Raffles Place,"Western, Thai, BBQ & Grill",N/A,30 mins , 1.6 km,N/A,N/A,4-CZL3BB5KNBBGHE?
Toast Box - Phillip Street,"Local & Malaysian, Breakfast & Brunch, Drinks & Beverages",N/A,25 mins , 2.6 km,N/A,N/A,SGDD11205?
Gado & Grill - One Raffles Place,"Bento, Fried Chicken, Group Friendly",N/A,35 mins , 1.6 km,N/A,N/A,SGDD06836?
Humble Bakery - One Raffles Place,"Bakery & Cake, Cakes & Bakeries",N/A,30 mins , 1.6 km,N/A,N/A,4-C34ULBUAENKKN2?
Smile Martabak - Funan,"Indonesian, Dessert, Halal",N/A,30 mins , 0.8 km,N/A,N/A,4-C3KBLATWN8L1TN?
The Alley - Funan,"Drinks & Beverages, Coffee & Tea, Bubble Tea, Group Friendly",N/A,25 mins , 0.6 km,N/A,N/A,4-C26ZJFWXN3NHHA?
Super Coco - Funan,"Dessert, Drinks & Beverages, Bubble Tea, Group Friendly",N/A,25 mins , 0.8 km,N/A,N/A,4-C3THEXDDT62YNA?
Cat & The Fiddle - Raffles Place MRT Station,"Frozen Food, Bakery & Cake, Dessert, Halal",N/A,30 mins , 1.7 km,N/A,N/A,4-C22UMAVDRYDYCE?
Un-Yang-Kor-Dai - South Bridge,"Thai, Noodles, Islandwide Delivery, MICHELIN Bib Gourmand, Salad",N/A,30 mins , 1.2 km,N/A,N/A,SGDD08841?
luckin coffee - Royal Group Building,"Bakery & Cake, Breakfast & Brunch, Coffee & Tea, Dessert, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C6A1LB6FTEDXHA?
Lucky Saigon - North Canal Road,"Snack, Noodles, Vegetarian Friendly",N/A,30 mins , 1.5 km,N/A,N/A,SGDD00739?
Poke Theory - Change Alley Mall,"Salad, Healthy, Vegan, Halal, Group Friendly",N/A,30 mins , 1.8 km,N/A,N/A,4-C2BTTP4CCX6VGT?
Omnivore - Oxley @ Raffles,"Western, Salad, Group Friendly",N/A,30 mins , 1.8 km,N/A,N/A,4-C2X1T3VTTKAGLX?
Sanook Kitchen - Funan Mall,Thai,N/A,30 mins , 0.9 km,N/A,N/A,4-C2E3GCCFEEWXAN?
Ikigai Izakaya - The Riverwalk,Japanese,N/A,N/A,N/A,N/A,N/A,4-C2VDKCCGAZDEN2?
&Made Gourmet Burgers - Funan Mall,"Burgers, Snack",N/A,N/A,N/A,N/A,N/A,4-C32ET3DULETBEA?
Ajumma's - Funan,"Local & Malaysian, Korean",N/A,30 mins , 0.8 km,N/A,N/A,4-CZEXGY4XWGNBTE?
L'Entrecote La Baguette - Funan Mall,"French, Sandwiches",N/A,25 mins , 0.8 km,N/A,N/A,4-C32ET3DULFUFVJ?
The Sandwich Shop - Hitachi Tower,"Western, Breakfast & Brunch, Snack, Group Friendly",N/A,30 mins , 1.8 km,N/A,N/A,4-C2UTLUVJAYWHTX?
Guzman Y Gomez - Funan,"Mexican, Kids Friendly, Healthy, Group Friendly",N/A,30 mins , 0.9 km,N/A,N/A,4-CZEUR7LAUCDEC2?
Yakiniku Shokudo - Funan Mall,"Japanese, BBQ, Grill",N/A,30 mins , 0.8 km,N/A,N/A,4-CZJTAFBYGNLEEA?
Co Nut Ink - Esplanade Theatres On The Bay,"Mart, Beverages, Dessert, Ice Cream",N/A,35 mins , 2.1 km,N/A,N/A,SGDD08898?
Namino Hana - One Raffles Place,"Bento, Drinks & Beverages, Japanese, Salad",N/A,25 mins , 1.6 km,N/A,N/A,4-C3VWV8NGC2VULT?
Kebabs Faktory - Funan,"Salad, Healthy, Halal, Fast Food, Group Friendly",N/A,30 mins , 0.9 km,N/A,N/A,4-CZAWBCC1SEVYEA?
CHICHA San Chen - Change Alley,"Drinks & Beverages, Coffee & Tea, Bubble Tea, Group Friendly",N/A,40 mins , 1.8 km,N/A,N/A,4-C2CUKAU3SGNYTE?
WOK HEY - Funan,"Bento, Chinese, Local & Malaysian, Halal, Group Friendly",N/A,30 mins , 0.8 km,N/A,N/A,4-C2VKJ3U2C2JZTN?
Tea Pulse - Royal Group Building,"Drinks & Beverages, Coffee & Tea, Bubble Tea, Group Friendly",N/A,35 mins , 2.4 km,N/A,N/A,4-CZAJVFBBCXNJEN?
Nanyang Chicken - South Bridge Road,"Bento, Local & Malaysian, Chinese",N/A,25 mins , 1.2 km,N/A,N/A,SGDD09015?
Fun Toast - One Raffles Place,"Local & Malaysian, Breakfast & Brunch, Coffee & Tea",N/A,30 mins , 1.6 km,N/A,N/A,SGDD08530?
Manam - Upper Circular Road,"Indian, Snack, Alcohol",N/A,25 mins , 1.1 km,N/A,N/A,4-C2UWA3VBTACTA2?
Urban Mix - One Raffles Place,"Mexican, Salad, Vegetarian, Healthy, Group Friendly",N/A,35 mins , 1.6 km,N/A,N/A,SGDD03136?
Mr. Coconut - One Raffles Place,"Drinks & Beverages, Bubble Tea, Dessert",N/A,35 mins , 1.6 km,N/A,N/A,4-C2B1RVCEGEEDJA?
Little Ribbons Pasta Co. - Funan,"Italian, Pasta, Western",N/A,30 mins , 0.9 km,N/A,N/A,4-C3JTGTBXJAXXR2?
Fish Soup Paradise - Raffles Place,"Porridge, Chinese, Local & Malaysian",N/A,35 mins , 1.8 km,N/A,N/A,4-C2EVEBLHCXMJNJ?
Ha Jun Korean - CIMB Plaza,"Japanese, Korean, Bento",N/A,35 mins , 1.9 km,N/A,N/A,4-C6B1MFC2T8JCV6?
Dungeon by II Fiore - Raffles Place,"Chinese, Pizza, Pasta",N/A,30 mins , 1.8 km,N/A,N/A,4-CY5WJUTKJ24BNT?
Adam Road Mee Soto - Oxley @ Raffles,"Local & Malaysian, Drinks & Beverages, Noodles",N/A,35 mins , 1.8 km,N/A,N/A,4-C3VKNTDUFBXATX?
Kotobuki Japanese Restaurant - One Raffles Place,"Bento, Japanese, Sushi, Group Friendly",N/A,25 mins , 1.6 km,N/A,N/A,4-C2UEME3ART53C6?
Hennessy Duck - North Bridge Road,"Local & Malaysian, Noodles, Fried Chicken",N/A,25 mins , 0.6 km,N/A,N/A,4-C33YV6JWRJBYCT?
Paradise Dynasty - Funan,"Chinese, Noodles, Rice",N/A,30 mins , 1 km,N/A,N/A,4-CYUTT6CDRUXXL6?
Paninoteca by d.o.c - South Bridge,"Breakfast & Brunch, Italian, Western",N/A,N/A,N/A,N/A,N/A,4-C4B1R35FNF3AJA?
espresso.doc - Chan Brother @ 68,"Pizza, Sandwiches, Breakfast, Coffee, Juice",N/A,30 mins , 1.2 km,N/A,N/A,4-C3LFA2NHGJ2BAN?
umisushi - One Raffles Place,"Japanese, Bento, Sushi, Group Friendly",N/A,35 mins , 1.7 km,N/A,N/A,4-CYUWR4KCVBLYGN?
Eventasty Noodle Bar 一碗田拉面 - Funan,"Local & Malaysian, Chinese, Noodles, BBQ & Grill",N/A,25 mins , 0.6 km,N/A,N/A,4-CYXVJA6WAB3TAJ?
Kopifellas - Change Alley Mall,"Chinese, Coffee & Tea, Drinks & Beverages, Dim Sum",N/A,30 mins , 1.8 km,N/A,N/A,4-C2XWJRCGEJKBGN?
Tiong Bahru Bakery - Funan,"Drinks & Beverages, Bakery & Cake, Dessert, Coffee & Tea, French",N/A,30 mins , 0.9 km,N/A,N/A,4-CY6XVVMJBE5FRE?
Nasty Cookie Factory - Funan,"Bakery & Cake, Snacks, Group Friendly",N/A,25 mins , 0.8 km,N/A,N/A,4-CY5ERECHCEEKNE?
Gin Khao - One Raffles Place,"Thai, Noodles",N/A,30 mins , 1.6 km,N/A,N/A,SGDD00526?
Flavours by Saute - Funan,"Vegetarian Friendly, Western, Kids Friendly",N/A,30 mins , 0.8 km,N/A,N/A,4-CZDWLYEBLF2XGT?
Komala's - Change Alley Mall,"Indian, Vegetarian Friendly",N/A,30 mins , 1.8 km,N/A,N/A,4-C2KFCVE1NZJXL6?
Tip Top Curry Puff - One Raffles Place,"Drinks & Beverages, Snack, Noodles, Group Friendly",N/A,35 mins , 1.7 km,N/A,N/A,4-CYMFLRLTRA2WGX?
LeNu - Funan,"Chinese, Noodles, Beef, Soup",N/A,30 mins , 0.6 km,N/A,N/A,4-CYUTT6CDJ4ETNT?
Kura Patisserie Bakery,"French, Dessert, Western",N/A,30 mins , 1.3 km,N/A,N/A,4-C3XGLVLZEPCHR6?
Joah Korean Restaurant - One Raffles Place,"Frozen Food, Korean",N/A,35 mins , 1.6 km,N/A,N/A,4-C2TWVLLTCK2BGX?
Greendot - Raffles Place,"Healthy, Noodles, Vegan",N/A,40 mins , 1.6 km,N/A,N/A,SGDD05316?
The Soup Spoon - Raffles Xchange,"Soup, Western, Vegetarian Friendly, Healthy, Halal",N/A,30 mins , 1.7 km,N/A,N/A,SGDD11568?
Twelve Cupcakes - One Raffles Place,"Mart, Snacks, Dessert",N/A,25 mins , 1.7 km,N/A,N/A,4-CYN1J3LAAUTVHE?
Upshot Coffee - One Raffles Place,"Coffee & Tea, Drinks & Beverages, Western",N/A,30 mins , 1.6 km,N/A,N/A,4-C3BUR2NCFEBJA6?
Pasta E Formaggio - Collyer Quay Centre,Italian,N/A,30 mins , 1.8 km,N/A,N/A,4-C2LCJP6XFFUTTT?
Xiang Gua Li La - North Bridge Road,"Seafood, Chinese",N/A,N/A,N/A,N/A,N/A,4-C34TN7DGA6MBVN?
Chop Kin Mee - 15 Philip Street,"Noodles, Thai",N/A,30 mins , 2.4 km,N/A,N/A,4-C3EGDBAGC62BMA?
Afuri - Funan,"Ramen, Noodles, Japanese",N/A,30 mins , 0.9 km,N/A,N/A,4-CZJBFCJZNUVWT2?
Qin Ji Rougamo - One Raffles Place,"Chinese, Fast Food, Noodles, Burgers, Snack",N/A,30 mins , 1.7 km,N/A,N/A,4-C2EAVNCFCCJBVX?
Dal.komm Coffee - Funan,"Dessert, Coffee & Tea, Breakfast & Brunch",N/A,30 mins , 0.6 km,N/A,N/A,4-CY2AJUEVVA6YNX?
Le Tian Tian - One Raffles Place,"Breakfast & Brunch, Dessert, Drinks & Beverages, Local & Malaysian, Snack",N/A,25 mins , 1.6 km,N/A,N/A,4-CZEFNUXCAYJFV2?
